STORE_ID,TRANSACTION_SET_ID,PAYMENT_TYPE,WEEK,ITEM_COUNT,TOTAL_AMOUNT
5181,1887061996007819813448,CREDIT,2024-05-20T00:00:00.000Z,5,25.950000000000003
28533,1828965228974377842941,DEBIT,2022-09-12T00:00:00.000Z,2,28.380000000000003
15629,1827417944646773752608,CASH,2022-08-29T00:00:00.000Z,1,6.87
3740,1831724523592456099100,CREDIT,2022-10-10T00:00:00.000Z,2,23.57
26580,1832664977533342045123,null,2022-10-24T00:00:00.000Z,4,17.61
24321,1831959772292645695880,CASH,2022-10-17T00:00:00.000Z,2,23.990000000000002
27873,1831894396781773377578,CASH,2022-10-17T00:00:00.000Z,2,10.26
5526,1832270018421686463327,CASH,2022-10-17T00:00:00.000Z,1,0.49
25354,1832119431223556662376,DEBIT,2022-10-17T00:00:00.000Z,1,1.99
26875,1834572426974919356724,DEBIT,2022-11-14T00:00:00.000Z,2,3.98
30717,1835697079686947775714,CASH,2022-11-21T00:00:00.000Z,2,3.5
15112,1834532848612737668504,CASH,2022-11-14T00:00:00.000Z,3,23.09
1197,1834679104017166748596,DEBIT,2022-11-14T00:00:00.000Z,1,43.37
26599,1833513725979026105718,EBT,2022-10-31T00:00:00.000Z,5,17.949999999999996
2375,1838714705326195621415,CASH,2022-12-26T00:00:00.000Z,1,3
19381,1838638976601642544743,CASH,2022-12-26T00:00:00.000Z,3,2.99
30717,1837488533835163937896,CREDIT,2022-12-12T00:00:00.000Z,4,7.88
24321,1837488440919076561561,DEBIT,2022-12-12T00:00:00.000Z,4,8.46
11726,1836042157486158677474,CREDIT,2022-11-28T00:00:00.000Z,4,20.310000000000002
3448,1840664105369479634324,CREDIT,2023-01-16T00:00:00.000Z,4,29.58
23075,1840802429760931527835,DEBIT,2023-01-16T00:00:00.000Z,4,10.16
4169,1839599273098209748784,CREDIT,2023-01-02T00:00:00.000Z,1,20
18211,1843307891232048678689,DEBIT,2023-02-13T00:00:00.000Z,1,8.99
7606,1846243088539440846189,DEBIT,2023-03-13T00:00:00.000Z,10,29.69
11164,1845168898984907994113,CASH,2023-03-06T00:00:00.000Z,1,5.32
30717,1846300278485720361253,CREDIT,2023-03-13T00:00:00.000Z,1,26.56
23043,1847159910650679969252,CASH,2023-03-27T00:00:00.000Z,1,3.99
25254,1847718464012724149248,CASH,2023-04-03T00:00:00.000Z,2,8
4169,1848915432681423101539,DEBIT,2023-04-10T00:00:00.000Z,4,18.48
3740,1850149203707753443578,LOTTERY,2023-04-24T00:00:00.000Z,1,5
27913,1852690238838587344741,DEBIT,2023-05-22T00:00:00.000Z,3,7.21
19067,1852501948853774019507,CREDIT,2023-05-22T00:00:00.000Z,1,27
3812,1851011806496320752169,CASH,2023-05-01T00:00:00.000Z,1,9.82
8857,1857376867711711393243,CASH,2023-07-10T00:00:00.000Z,1,1.19
15283,1853459293642315176919,DEBIT,2023-05-29T00:00:00.000Z,1,74
30717,1850056537267814555165,DEBIT,2023-04-24T00:00:00.000Z,4,7.53
24403,1830189614534925951884,CASH,2022-09-26T00:00:00.000Z,1,12.83
22391,1855355692021528070624,DEBIT,2023-06-19T00:00:00.000Z,2,5.98
20674,1890513344419241539376,CREDIT,2024-06-24T00:00:00.000Z,1,172.5
2285,1889595599164596017024,CASH,2024-06-10T00:00:00.000Z,6,22.240000000000002
27913,1860221248257296259545,CREDIT,2023-08-07T00:00:00.000Z,1,20.31
32518,1861451766498337856307,DEBIT,2023-08-21T00:00:00.000Z,4,22.4
1197,1859745754681366260543,CREDIT,2023-08-07T00:00:00.000Z,3,5.53
17414,1861719994889534811496,DEBIT,2023-08-28T00:00:00.000Z,3,12.530000000000001
30717,1859484793091584347489,CASH,2023-07-31T00:00:00.000Z,5,15.66
19153,1861459980817319357573,CREDIT,2023-08-21T00:00:00.000Z,5,68.39999999999999
25857,1861183091721345684727,CREDIT,2023-08-21T00:00:00.000Z,1,28.54
11629,1861850150309454896751,CREDIT,2023-08-28T00:00:00.000Z,1,64.81
11143,1860669464906180507067,DEBIT,2023-08-14T00:00:00.000Z,3,14.940000000000001
359,1862394786928767256066,DEBIT,2023-09-04T00:00:00.000Z,3,15.219999999999999
25645,1864550452646589660751,null,2023-09-25T00:00:00.000Z,2,6.68
2705,1863897858261795326587,CASH,2023-09-18T00:00:00.000Z,2,5.58
11164,1864591378361058294545,CASH,2023-09-25T00:00:00.000Z,2,19.48
11726,1866185057049781887714,CASH,2023-10-09T00:00:00.000Z,4,35.26
1699,1865119816917425987939,CASH,2023-10-02T00:00:00.000Z,1,0.79
2375,1884887783147963316962,DEBIT,2024-04-22T00:00:00.000Z,4,11.5
23676,1831447310769413558959,CREDIT,2022-10-10T00:00:00.000Z,1,84.02
27873,1875679047956680694698,CREDIT,2024-01-22T00:00:00.000Z,2,3.82
19287,1889649125955112244147,DEBIT,2024-06-17T00:00:00.000Z,3,13.169999999999998
2705,1869428268929354417784,CASH,2023-11-13T00:00:00.000Z,8,16.939999999999998
17233,1868826958465993379320,null,2023-11-06T00:00:00.000Z,3,11.16
30717,1868273846859904071643,CASH,2023-10-30T00:00:00.000Z,4,12.559999999999999
33987,1882694851110611748486,null,2024-04-01T00:00:00.000Z,8,18.32
2069,1864971996134237183786,CREDIT,2023-09-25T00:00:00.000Z,3,9.47
25609,1871131505025466287800,CASH,2023-12-04T00:00:00.000Z,1,2.99
15112,1871710379054109104702,CASH,2023-12-11T00:00:00.000Z,3,20.18
5526,1871018017707152366157,DEBIT,2023-12-04T00:00:00.000Z,1,3.69
22791,1873557613173082240265,CREDIT,2023-12-25T00:00:00.000Z,4,40.01
26855,1873189766298139672331,DEBIT,2023-12-25T00:00:00.000Z,2,9.280000000000001
24732,1875496946287052533190,CREDIT,2024-01-15T00:00:00.000Z,2,4.17
22868,1874849361954670849007,CREDIT,2024-01-08T00:00:00.000Z,1,25.47
2375,1876465242563389123059,DEBIT,2024-01-29T00:00:00.000Z,1,1.89
2375,1876165603198232876696,CREDIT,2024-01-22T00:00:00.000Z,1,53.51
22834,1875811068565180841595,DEBIT,2024-01-22T00:00:00.000Z,1,35.19
7214,1878734076722881574738,DEBIT,2024-02-19T00:00:00.000Z,1,40.02
15258,1878165561909323586282,DEBIT,2024-02-12T00:00:00.000Z,7,15.729999999999999
20667,1878213828404339926564,CASH,2024-02-12T00:00:00.000Z,15,17.849999999999998
24769,1877676254471752538360,CASH,2024-02-12T00:00:00.000Z,1,2.79
