GTIN,CATEGORY,SUBCATEGORY,BRAND,MANUFACTURER_PARENT
00814542015718,Lottery/Gaming,Lottery,Lottery,Lottery
00754336024109,Lottery/Gaming,Lottery,Lottery,Lottery
00687355811408,Lottery/Gaming,Lottery,Lottery,Lottery
00071610505650,Lottery/Gaming,Lottery,Lottery,Lottery
00814542016128,Lottery/Gaming,Lottery,Lottery,Lottery
00018200289576,Lottery/Gaming,Lottery,Lottery,Lottery
00754336023126,Lottery/Gaming,Lottery,Lottery,Lottery
00617189098872,Lottery/Gaming,Lottery,Lottery,Lottery
00617189021155,Lottery/Gaming,Lottery,Lottery,Lottery
09351381320260,Lottery/Gaming,Lottery,Lottery,Lottery
00893237001359,Lottery/Gaming,Lottery,Lottery,Lottery
00766099015409,Lottery/Gaming,Lottery,Lottery,Lottery
00841519115423,Lottery/Gaming,Lottery,Lottery,Lottery
00833283013814,Lottery/Gaming,Lottery,Lottery,Lottery
00666776001308,Lottery/Gaming,Lottery,Lottery,Lottery
00798028215031,Lottery/Gaming,Lottery,Lottery,Lottery
01311028634008,Lottery/Gaming,Lottery,Lottery,Lottery
00400000019505,Lottery/Gaming,Lottery,Lottery,Lottery
00791157010416,Lottery/Gaming,Lottery,Lottery,Lottery
00724894015345,Lottery/Gaming,Lottery,Lottery,Lottery
00833283013449,Lottery/Gaming,Lottery,Lottery,Lottery
00649148002899,Lottery/Gaming,Lottery,Lottery,Lottery
00073100005343,Lottery/Gaming,Lottery,Lottery,Lottery
00817522021532,Lottery/Gaming,Lottery,Lottery,Lottery
03288190094155,Lottery/Gaming,Lottery,Lottery,Lottery
00735975615163,Lottery/Gaming,Lottery,Lottery,Lottery
00617189020073,Lottery/Gaming,Lottery,Lottery,Lottery
00840117900271,Lottery/Gaming,Lottery,Lottery,Lottery
01357704540032,Lottery/Gaming,Lottery,Lottery,Lottery
00798028214447,Lottery/Gaming,Lottery,Lottery,Lottery
00639299012458,Lottery/Gaming,Lottery,Lottery,Lottery
00617189020042,Lottery/Gaming,Lottery,Lottery,Lottery
02591588730191,Lottery/Gaming,Lottery,Lottery,Lottery
00912345003298,Lottery/Gaming,Lottery,Lottery,Lottery
00748622178935,Lottery/Gaming,Lottery,Lottery,Lottery
00645279523302,Lottery/Gaming,Lottery,Lottery,Lottery
03639064662299,Lottery/Gaming,Lottery,Lottery,Lottery
00653491505518,Lottery/Gaming,Lottery,Lottery,Lottery
06171890182856,Lottery/Gaming,Lottery,Lottery,Lottery
00644018114375,Lottery/Gaming,Lottery,Lottery,Lottery
00015900134014,Lottery/Gaming,Lottery,Lottery,Lottery
00670656056555,Lottery/Gaming,Lottery,Lottery,Lottery
00843051008089,Lottery/Gaming,Lottery,Lottery,Lottery
00735975107620,Lottery/Gaming,Lottery,Lottery,Lottery
00617189019923,Lottery/Gaming,Lottery,Lottery,Lottery
00094321212471,Lottery/Gaming,Lottery,Lottery,Lottery
00704104012029,Lottery/Gaming,Lottery,Lottery,Lottery
00843051006818,Lottery/Gaming,Lottery,Lottery,Lottery
00698720223399,Lottery/Gaming,Lottery,Lottery,Lottery
00698720004318,Lottery/Gaming,Lottery,Lottery,Lottery
00987778970018,Lottery/Gaming,Lottery,Lottery,Lottery
00100000000601,Lottery/Gaming,Lottery,Lottery,Lottery
00762885018005,Lottery/Gaming,Lottery,Lottery,Lottery
00015936581219,Lottery/Gaming,Lottery,Lottery,Lottery
00805887645814,Lottery/Gaming,Lottery,Lottery,Lottery
00653491504887,Lottery/Gaming,Lottery,Lottery,Lottery
02728192593613,Lottery/Gaming,Lottery,Lottery,Lottery
00833069015575,Lottery/Gaming,Lottery,Lottery,Lottery
00840124146006,Lottery/Gaming,Lottery,Lottery,Lottery
00704104011497,Lottery/Gaming,Lottery,Lottery,Lottery
00609341011371,Lottery/Gaming,Lottery,Lottery,Lottery
00052000051193,Lottery/Gaming,Lottery,Lottery,Lottery
00833069015629,Lottery/Gaming,Lottery,Lottery,Lottery
00782223024048,Lottery/Gaming,Lottery,Lottery,Lottery
00713156008270,Lottery/Gaming,Lottery,Lottery,Lottery
00609341011845,Lottery/Gaming,Lottery,Lottery,Lottery
18480168820169,Lottery/Gaming,Lottery,Lottery,Lottery
00782223024260,Lottery/Gaming,Lottery,Lottery,Lottery
00704104011428,Lottery/Gaming,Lottery,Lottery,Lottery
00735975214953,Lottery/Gaming,Lottery,Lottery,Lottery
00724894015451,Lottery/Gaming,Lottery,Lottery,Lottery
00843051007297,Lottery/Gaming,Lottery,Lottery,Lottery
00754336022914,Lottery/Gaming,Lottery,Lottery,Lottery
05671010910110,Lottery/Gaming,Lottery,Lottery,Lottery
00791157010874,Lottery/Gaming,Lottery,Lottery,Lottery
00798028114556,Lottery/Gaming,Lottery,Lottery,Lottery
00713156008065,Lottery/Gaming,Lottery,Lottery,Lottery
00674732014477,Lottery/Gaming,Lottery,Lottery,Lottery
00649148007719,Lottery/Gaming,Lottery,Lottery,Lottery
00833283011445,Lottery/Gaming,Lottery,Lottery,Lottery
00762885018579,Lottery/Gaming,Lottery,Lottery,Lottery
09093065230299,Lottery/Gaming,Lottery,Lottery,Lottery
00814605021304,Lottery/Gaming,Lottery,Lottery,Lottery
00841519115485,Lottery/Gaming,Lottery,Lottery,Lottery
00782223024369,Lottery/Gaming,Lottery,Lottery,Lottery
02657872010019,Lottery/Gaming,Lottery,Lottery,Lottery
00015936457194,Lottery/Gaming,Lottery,Lottery,Lottery
00714433014052,Lottery/Gaming,Lottery,Lottery,Lottery
00608358003935,Lottery/Gaming,Lottery,Lottery,Lottery
00639299011345,Lottery/Gaming,Lottery,Lottery,Lottery
00833283012855,Lottery/Gaming,Lottery,Lottery,Lottery
01359687005948,Lottery/Gaming,Lottery,Lottery,Lottery
00841519116543,Lottery/Gaming,Lottery,Lottery,Lottery
00644018114566,Lottery/Gaming,Lottery,Lottery,Lottery
01259041048024,Lottery/Gaming,Lottery,Lottery,Lottery
08522726921402,Lottery/Gaming,Lottery,Lottery,Lottery
00698720202646,Lottery/Gaming,Lottery,Lottery,Lottery
00843051006948,Lottery/Gaming,Lottery,Lottery,Lottery
00649148003445,Lottery/Gaming,Lottery,Lottery,Lottery
00619264520621,Lottery/Gaming,Lottery,Lottery,Lottery
02598057433861,Lottery/Gaming,Lottery,Lottery,Lottery
00814542015817,Lottery/Gaming,Lottery,Lottery,Lottery
00649148002523,Lottery/Gaming,Lottery,Lottery,Lottery
03601032613165,Lottery/Gaming,Lottery,Lottery,Lottery
00645279556034,Lottery/Gaming,Lottery,Lottery,Lottery
00644684003546,Lottery/Gaming,Lottery,Lottery,Lottery
00639299012762,Lottery/Gaming,Lottery,Lottery,Lottery
00765532015945,Lottery/Gaming,Lottery,Lottery,Lottery
00841519115133,Lottery/Gaming,Lottery,Lottery,Lottery
03648138175032,Lottery/Gaming,Lottery,Lottery,Lottery
00798028713797,Lottery/Gaming,Lottery,Lottery,Lottery
00704104011350,Lottery/Gaming,Lottery,Lottery,Lottery
00833069016244,Lottery/Gaming,Lottery,Lottery,Lottery
07791014406017,Lottery/Gaming,Lottery,Lottery,Lottery
09093065240026,Lottery/Gaming,Lottery,Lottery,Lottery
00644684004123,Lottery/Gaming,Lottery,Lottery,Lottery
00878702013846,Lottery/Gaming,Lottery,Lottery,Lottery
00639299010805,Lottery/Gaming,Lottery,Lottery,Lottery
00137027072007,Lottery/Gaming,Lottery,Lottery,Lottery
00381086062012,Lottery/Gaming,Lottery,Lottery,Lottery
00323063114013,Lottery/Gaming,Lottery,Lottery,Lottery
07327001869703,Lottery/Gaming,Lottery,Lottery,Lottery
00645279547100,Lottery/Gaming,Lottery,Lottery,Lottery
00878702012450,Lottery/Gaming,Lottery,Lottery,Lottery
00843051004135,Lottery/Gaming,Lottery,Lottery,Lottery
00653443274042,Lottery/Gaming,Lottery,Lottery,Lottery
00987983110194,Lottery/Gaming,Lottery,Lottery,Lottery
00053137013603,Lottery/Gaming,Lottery,Lottery,Lottery
00714433014724,Lottery/Gaming,Lottery,Lottery,Lottery
00687355811514,Lottery/Gaming,Lottery,Lottery,Lottery
00698720213239,Lottery/Gaming,Lottery,Lottery,Lottery
00833069015148,Lottery/Gaming,Lottery,Lottery,Lottery
00724894015406,Lottery/Gaming,Lottery,Lottery,Lottery
00878702013662,Lottery/Gaming,Lottery,Lottery,Lottery
01121135128007,Lottery/Gaming,Lottery,Lottery,Lottery
00617189019718,Lottery/Gaming,Lottery,Lottery,Lottery
00053137014150,Lottery/Gaming,Lottery,Lottery,Lottery
00840117900752,Lottery/Gaming,Lottery,Lottery,Lottery
00762885018883,Lottery/Gaming,Lottery,Lottery,Lottery
00644018114641,Lottery/Gaming,Lottery,Lottery,Lottery
00088888000084,Lottery/Gaming,Lottery,Lottery,Lottery
02278331314568,Lottery/Gaming,Lottery,Lottery,Lottery
02911709750004,Lottery/Gaming,Lottery,Lottery,Lottery
00644018111510,Lottery/Gaming,Lottery,Lottery,Lottery
00649148002677,Lottery/Gaming,Lottery,Lottery,Lottery
00783367890190,Lottery/Gaming,Lottery,Lottery,Lottery
00724894015628,Lottery/Gaming,Lottery,Lottery,Lottery
00833283012206,Lottery/Gaming,Lottery,Lottery,Lottery
00713156006832,Lottery/Gaming,Lottery,Lottery,Lottery
00666260010113,Lottery/Gaming,Lottery,Lottery,Lottery
00748622178973,Lottery/Gaming,Lottery,Lottery,Lottery
00649148002639,Lottery/Gaming,Lottery,Lottery,Lottery
01438145025101,Lottery/Gaming,Lottery,Lottery,Lottery
00645279525054,Lottery/Gaming,Lottery,Lottery,Lottery
00617189018261,Lottery/Gaming,Lottery,Lottery,Lottery
00687355811279,Lottery/Gaming,Lottery,Lottery,Lottery
00617189020530,Lottery/Gaming,Lottery,Lottery,Lottery
00617189020714,Lottery/Gaming,Lottery,Lottery,Lottery
03656138282479,Lottery/Gaming,Lottery,Lottery,Lottery
00724894015604,Lottery/Gaming,Lottery,Lottery,Lottery
00674732016105,Lottery/Gaming,Lottery,Lottery,Lottery
00704104011992,Lottery/Gaming,Lottery,Lottery,Lottery
00714433013963,Lottery/Gaming,Lottery,Lottery,Lottery
01390137083202,Lottery/Gaming,Lottery,Lottery,Lottery
00209341096004,Lottery/Gaming,Lottery,Lottery,Lottery
00653443273311,Lottery/Gaming,Lottery,Lottery,Lottery
00766099015386,Lottery/Gaming,Lottery,Lottery,Lottery
00644018114184,Lottery/Gaming,Lottery,Lottery,Lottery
00035751113143,Lottery/Gaming,Lottery,Lottery,Lottery
00010000001037,Lottery/Gaming,Lottery,Lottery,Lottery
09595166540184,Lottery/Gaming,Lottery,Lottery,Lottery
00817522024090,Lottery/Gaming,Lottery,Lottery,Lottery
00100000087817,Lottery/Gaming,Lottery,Lottery,Lottery
00704104012036,Lottery/Gaming,Lottery,Lottery,Lottery
05421006370011,Lottery/Gaming,Lottery,Lottery,Lottery
00816193011408,Lottery/Gaming,Lottery,Lottery,Lottery
00798028213570,Lottery/Gaming,Lottery,Lottery,Lottery
00698720213055,Lottery/Gaming,Lottery,Lottery,Lottery
00666260008066,Lottery/Gaming,Lottery,Lottery,Lottery
00735975614999,Lottery/Gaming,Lottery,Lottery,Lottery
00617189019930,Lottery/Gaming,Lottery,Lottery,Lottery
00015100000997,Lottery/Gaming,Lottery,Lottery,Lottery
00687355809221,Lottery/Gaming,Lottery,Lottery,Lottery
