PAYMENT_TYPE,GTIN,POS_DESCRIPTION,CATEGORY,BRAND,PURCHASE_COUNT,TOTAL_SALES,TOTAL_UNITS
DEBIT,0,debitfee,null,null,903310,316158.49999932665,903310
CASH,0,GROCERY,null,null,382948,1024157.8200000622,430674
CASH,0,LOTTO,null,null,292615,3603659.8900000006,297646
CASH,0,LOTTERY,null,null,228914,3351139.35,232016
DEBIT,0,GROCERY,null,null,219607,830655.3700000399,254821
CASH,0,TOBACCO,null,null,104680,431947.730000006,171512
CASH,0,Lotto,null,null,103418,945553.7899999999,103755
CASH,0,ONLINE LOTTO,null,null,102269,1155325.7699999998,102502
DEBIT,0,NO TAX GROC,null,null,86275,516370.57999996823,95836
CREDIT,0,GROCERY,null,null,86198,366812.3499999996,101050
CASH,0,lotto on line,null,null,83511,967404.11,84099
CASH,0,NO TAX GROC,null,null,80666,432927.4399999843,87900
CASH,0,LOTTO PAYOUT,null,null,75245,-1932624.5799999996,75291
CASH,0,LOTTO IN,null,null,72840,1530735.34,73012
CASH,0,Online Lottery,null,null,62618,549185.49,62900
CASH,0,NON GROC,null,null,61523,175553.70000000627,70690
CASH,0,LOTTO SALE,null,null,60583,1028331.6600000001,65792
DEBIT,0,TOBACCO,null,null,59585,454166.55,104302
CREDIT,0,Food Service,null,null,57420,326808.87000000954,72093
DEBIT,0,Food Service,null,null,56052,317577.16000001115,71009
CASH,0,Online Lotto,null,null,54123,557704.6200000001,54331
CASH,0,SCRATCH OFF,null,null,53749,759483.1799999999,54171
CASH,0,Lottery  Sales Winner,null,null,49039,-1301720.82,49047
DEBIT,0,NON GROC,null,null,47856,147446.84000000329,54713
CASH,0,Lottery,null,null,47373,617134.49,47512
CASH,0,Online Payout,null,null,43353,-400062.23,43401
CASH,0,SCRATCH PAID OUT,null,null,42939,-1327580.6600000004,42941
DEBIT,0,LOTTO,null,null,42659,632921.5900000001,44096
EBT,0,GROCERY,null,null,42443,117835.82999999977,51421
CREDIT,0,Grocery tax,null,null,41755,169133.420000009,43271
CREDIT,0,TOBACCO,null,null,41435,242766.49000000948,74248
CASH,0,271 LOTTO,null,null,40296,477990.36,40419
CASH,0,LOTTERY PAYOUT,null,null,40294,-708712.8500000001,40329
CASH,0,GROC,null,null,40082,116194.46999999856,46820
DEBIT,0,SANDWICH,null,null,37557,312403.5400000112,41672
CASH,0,Money Order,null,null,36808,4766640.529999902,40118
CASH,0,Grocery no tax,null,null,35832,102723.92999999899,36250
CASH,0,LOTTO Scratch,null,null,35411,719150.23,39128
CASH,0,LOTTERY P/O,null,null,34762,-1009101.5499999999,34764
CASH,0,Powerball,null,null,34749,302063.47,34942
CASH,0,INSTANT LOTTERY,null,null,34472,481065.67999999993,35589
CASH,0,Grocery tax,null,null,34440,117731.50000000017,35170
CASH,0,Food Service,null,null,33018,176877.58000000403,42082
CASH,0,NON TAX GROCRY,null,null,32451,283222.70999999874,37084
CASH,0,Grocery,null,null,32419,190978.5700000043,37624
CASH,0,LOTTERY PAYOUTS,null,null,32375,-1032136.47,32377
CASH,0,BEER,null,null,30443,190570.1300000052,38007
CASH,0,LOTTO Machine,null,null,29896,373937.63,30022
CREDIT,0,Grocery no tax,null,null,29805,98846.91999999895,30457
CASH,0,SANDWICH,null,null,29760,233170.8500000157,32420
CASH,0,LOTTO PAY OUT,null,null,29437,-1159165.23,29437
CASH,0,FOOD BAR/DELI,null,null,28579,112677.2799999953,30086
CASH,0,LOTTO-OUT,null,null,28548,-1287051.12,28548
CASH,0,Lottery Paid Out,null,null,28492,-467273.37,28528
CASH,0,Lottery Payout,null,null,27064,-732158.43,27065
CASH,0,LTTRY PAYOUT,null,null,26223,-597448.1699999999,26223
CREDIT,0,NO TAX GROC,null,null,24162,142323.4999999992,27046
CASH,0,TAX GROC,null,null,23010,84414.41999999872,27483
CASH,0,OTHER TOBACCO,null,null,22513,70121.49999999767,32455
CASH,0,Hot Food Service,null,null,21918,52260.68000000003,32842
CASH,0,LOTTERY PAY OUT,null,null,21732,-480240.54,21734
DEBIT,0,GROC,null,null,21563,72338.05999999895,25961
CASH,0,Tobbacco,null,null,21484,41603.14999999899,30376
CASH,0,LOTTO ONLINE,null,null,21483,214042.35000000003,21523
CASH,0,ON LINE LOTTERY,null,null,21273,171789.52,21418
