STORE_ID,STORE_NAME,CITY,STATE,ZIP_CODE,LATITUDE,LONGITUDE
33987,Stewards Market #102,Anniston,AL,36207,33.7677,-85.6926
9432,Happy Valley Food Mart LLC,Versailles,KY,40383,38.0446455,-84.6666175
2705,St. Avenue BP,Olds,IA,52647,41.1340701,-91.54117869999999
28533,EZ Mart ME,Lisbon Falls,ME,04252,44.0045,-70.0713
19158,Lakeview Shell - 6103,Lakeview,OR,97630,42.2110158,-120.3564353
9255,One Stop Mart #18,Hermiston,OR,97838,45.8493162,-119.3115068
22868,Evergreen Mobil Motel LTD,Delavan,WI,53115,42.6270521,-88.63640319999999
20632,SuperX,Huron,SD,57350,44.3558518,-98.2148472
359,Schoenersville ,Bethlehem,PA,18018,40.6391011,-75.39782060000002
35271,Country Corner,Benton,LA,71006,32.6547,-93.692
5897,US 42 BLUE PANTRY,Florence,KY,41042,38.9784904,-84.6572303
1439,Springville Station,Springville,IA,52336,42.0536354,-91.44582470000002
26875,Country Club Market,Lincolnton,NC,28092,35.4592,-81.2123
3740,Rains Food Mart #4,Moses Lake,WA,98837,47.1167665,-119.2638553
25609,Lucky Seven Cloquet,Cloquet,MN,55720,46.713,-92.4609
23043,The Gold Mine Store and Grill,Catawba,NC,28609,35.6509443,-81.053601
26135,LAKERONESTOP,Russell Spgs,KY,42642,37.0358,-85.076
26580,Murdoch Go-Mart 115,Parkersburg,WV,26101,39.2915,-81.5453
9502,JPS CHEVRON,Clearfield,UT,84015,41.1030453,-112.0002229
21201,De & So LLC,Manheim,PA,17545,40.16783119999999,-76.3990301
1167,Atkins VP ,Atkins,AR,72823,35.2546997,-92.93679329999999
29292,Hop In,Knoxville,TN,37912,36.0008,-83.9856
3921,Brothers-Carlos,Alexandria,MN,56308,45.9772744,-95.31311950000001
14675,NEIGHBORS A-1 MARKET,Lewiston,ID,83501,46.3728028,-116.9644796
2018,Breeze Thru 30048,Cary,NC,27513,35.7892945,-78.8295931
25868,DERRY QUICK MART,DERRY,NH,03038,42.8894,-71.3092
11270,80 BP,Omaha,NE,68114,41.2598368,-96.0386382
19067,CAMPBELL ST SHELL,Knoxville,TN,37932,35.9000724,-84.17518539999999
30917,Corner market 2,Wichita,KS,67213,37.6519,-97.3523
6940,Miraj2 inc,Vilonia,AR,72173,35.0850362,-92.2014387
5271,mannheim Gas & Mini Mart,Franklin Park,IL,60131,41.9236686,-87.8839536
13893,Moapa Travel Plaza,Moapa,NV,89025,36.670058,-114.6533886
7884,Village Gas inc,Scituate,RI,02857,41.8322085,-71.58744010000001
1709,bridgeville bp,Bridgeville,DE,19933,38.7224152,-75.58969139999999
35043,COBB002,Phoenix,AZ,85032,33.6401,-112.001
14790,LINCOLN PETROLEUM INC,Santa Monica,CA,90404,34.0141041,-118.4856064
21147,Store 238,Buford,GA,30519,34.1031096,-83.97320669999999
27873,99-CP South,Madison,WI,53713,43.0349,-89.3808
35130,Quad Food Mart,Austin,TX,78704,30.2371,-97.749
11629,MB Rivertown Marathon,Grandville,MI,49418,42.88429199999999,-85.7620185
464,Fort Dodge Ampride,Fort Dodge,IA,50501,42.5007233,-94.14789760000001
27744,Young Baca's Kicks 66,Belen,NM,87002,34.6418,-106.78
23075,360 VALERO,Upper Saddle River,NJ,07458,41.0525188,-74.11860999999999
28603,Swift Fresh Market - Enfield,Enfield,CT,06082,41.9773,-72.569
12555,Pitstop - Springfield,Springfield,NE,68059,41.0887003,-96.13385319999999
11471,Monroe,Monroe,WA,98272,47.85899939999999,-121.971013
15099,murad ali,Walnut Cove,NC,27052,36.2822944,-80.14512619999999
18824,BPCLAYMONT,Claymont,DE,19703,39.8018062,-75.4593022
29941,Munchies,Blacksburg,SC,29702,35.107,-81.5383
7128,Millers Energy #89,Norfolk,VA,23508,36.8882759,-76.30239449999999
13701,In & out mini mart llc,Ripley,MS,38663,34.7557868,-88.9412041
6119,Affton Convenience,Affton,MO,63123,38.5518023,-90.291044
31269,belt valley grocery,Belt,MT,59412,47.3869,-110.926
27913,University Shell,Dayton,OH,45409,39.7408,-84.1861
26599,Clarksburg Go-Mart 72,Clarksburg,WV,26301,39.2739,-80.3247
26665,108,Long Beach,MS,39560,30.3979,-89.1767
5742,Raizada Fuel,Wynantskill,NY,12198,42.6975176,-73.6467692
20674,Liptonmart 605,Lee,MA,01238,42.27921420000001,-73.2678285
1197,MM Beverage,Hardwick,VT,05843,44.4945744,-72.3746771
20118,shree vinayak corporation,Avella,PA,15312,40.2759769,-80.4607915
5000,Riverside Mini Mart Inc,East Providence,RI,02915,41.7591213,-71.3468786
16986,jandu petroleum #8,Sturgeon Bay,WI,54235,44.8338442,-87.3764594
8074,Midway Little General Inc,Columbia,MO,65202,38.9791726,-92.43778110000001
27683,MOBIL GAS STATION,Manchester,NH,03102,43,-71.4761
34783,Store 54,Pleasant Grove,UT,84062,40.3568,-111.764
11612,MB Bay Park Marathon,Holland,MI,49424,42.804403,-86.0924775
25208, 5714,Lakewood,CO,80228,39.7121,-105.134
12240,LIBERTY GAS STATION,Westminster,MD,21157,39.5837133,-76.9913241
5449,MIlan Food Mart,Milan,IL,61264,41.43214649999999,-90.56882039999999
13721,AMS STATION,Canton,MI,48187,42.351332,-83.4598536
18211,Hanover Mobil,Hanover,MA,02339,42.1460408,-70.8447908
19540,ALL STAR MART,Derby,CT,06418,41.3141183,-73.07915009999999
22038,1139,Afton,WY,83110,42.70819669999999,-110.9342064
33621,Midland City Shell,Midland City,AL,36350,31.307,-85.4941
19287,Shell Food Mart 101,Gillette,WY,82716,44.295027,-105.527795
18503,Marion Springs General Store,Brant,MI,48614,43.2434659,-84.3275189
13010,Riverside mini mart inc ,East Providence,RI,02915,41.7591213,-71.3468786
2285,BFS FOODS #84,Weirton,WV,26062,40.3912088,-80.5949826
7749,Ary's Express Mart,Easton,PA,18042,40.6904102,-75.2324094
19381,Crossroads Truckstop,Umatilla,OR,97882,45.91791749999999,-119.3244408
26073,kellogg super stop,Kellogg,ID,83837,47.5391,-116.125
25560,Algoo & Sons Inc,West Hartford,CT,06117,41.786,-72.7479
23676,Shell Store Grandview,Grandview,MO,64134,38.9089,-94.5222
13794,Garrison Pointe Market & Cafe,Fort Smith,AR,72901,35.3882879,-94.4264379
1146,Fuel Zone,Huntsville,AR,72740,36.0875316,-93.7310929
7437,Dunbrook Ltd.,Albany,NY,12208,42.652365,-73.76835539999999
5037,Hoyt Lakes,Hoyt Lakes,MN,55750,47.5194658,-92.14631949999999
7606,Burlington General Store,Burlington,WV,26710,39.3398189,-78.9305674
15258,Handys Express LLC,Junction City,KS,66441,39.0159521,-96.86207209999999
18231,Great Scotts Eagle,Eagle,ID,83616,43.6930189,-116.3186365
17923,04058,Springfield,MA,01105,42.08807669999999,-72.5801876
17876,02031,Somersworth,NH,03878,43.2656113,-70.90751829999999
8246,#15 Holgate Party Mart,Holgate,OH,43527,41.2501732,-84.1317844
19168,John Day Shell - 6212,John Day,OR,97845,44.4205909,-118.9760112
26855,Dave's Fast Stop 4,Miami,AZ,85539,33.3915,-110.878
