STORE_ID,WEEK,PAYMENT_TYPE,TRANSACTION_COUNT,TOTAL_AMOUNT,AVG_AMOUNT,SUBTOTAL
25391,2023-05-01T00:00:00.000Z,DEBIT,1047,31315.540000000005,29.909780324737348,31046.57
24600,2023-05-29T00:00:00.000Z,CASH,2100,24453.11,11.644338095238096,23772.870000000006
30717,2023-06-05T00:00:00.000Z,CREDIT,4568,147643.01,32.321149299474605,146783.36999999997
2018,2023-05-29T00:00:00.000Z,CREDIT,1949,53333.15000000001,27.364366341713705,53720.48
17414,2023-07-10T00:00:00.000Z,CASH,4972,119150.67999999998,23.964336283185837,116899.75999999991
24769,2023-07-10T00:00:00.000Z,CASH,2727,48651.39999999999,17.840630729739637,47951.75999999999
9310,2023-07-10T00:00:00.000Z,CREDIT,2446,117745.45,48.13795993458708,117589.73999999999
30717,2023-09-25T00:00:00.000Z,CASH,2056,26965.039999999994,13.11529182879377,26353.13000000001
30981,2023-09-25T00:00:00.000Z,CREDIT,1705,44486.23,26.091630498533725,43199.609999999986
20632,2023-09-18T00:00:00.000Z,CREDIT,207,5610.01,27.101497584541065,5459.249999999999
6940,2023-09-25T00:00:00.000Z,DEBIT,423,8371.27,19.790236406619385,8006.349999999999
18211,2023-11-20T00:00:00.000Z,DEBIT,811,23639.850000000002,29.149013563501853,23397.8
2060,2023-11-27T00:00:00.000Z,CASH,1311,18901.010000000002,14.417246376811596,18655.759999999995
2705,2023-11-27T00:00:00.000Z,CREDIT,4187,114113.51,27.254241700501552,114715.75999999998
18392,2022-09-26T00:00:00.000Z,DEBIT,1076,20572.23,19.11917286245353,20326.27
31269,2024-01-22T00:00:00.000Z,DEBIT,592,12847.39,21.701672297297296,12951.080000000002
23075,2024-01-29T00:00:00.000Z,CREDIT,1240,43552.579999999994,35.12304838709677,43468.560000000005
15635,2023-04-24T00:00:00.000Z,CASH,612,10474.92,17.115882352941178,10474.92
27683,2022-10-10T00:00:00.000Z,CREDIT,855,27223.43,31.840269005847954,27222.120000000003
19168,2024-06-10T00:00:00.000Z,CASH,1654,23733.800000000003,14.34933494558646,24014.730000000003
25868,2024-05-13T00:00:00.000Z,DEBIT,442,6304.470000000001,14.26350678733032,6304.470000000001
5449,2023-08-28T00:00:00.000Z,EBT,148,1478.81,9.991959459459459,1463.2399999999998
15629,2022-12-26T00:00:00.000Z,DEBIT,1298,30379.019999999997,23.40448382126348,29823.07
19168,2022-12-19T00:00:00.000Z,CREDIT,861,37598.79,43.668745644599305,37824.01000000001
19168,2023-01-02T00:00:00.000Z,CREDIT,848,34745.77,40.97378537735849,34852.6
16548,2024-05-06T00:00:00.000Z,HOUSE ACCOUNT,70,11199.620000000003,159.99457142857148,11204.869999999999
27829,2022-12-26T00:00:00.000Z,CREDIT,284,15307.489999999998,53.89961267605633,15204.76
14927,2023-12-11T00:00:00.000Z,HOUSE ACCOUNT,41,1869.32,45.59317073170732,1852.5
