STORE_ID,WEEK,GTIN,POS_DESCRIPTION,NONSCAN_CATEGORY,CATEGORY,SUBCATEGORY,BRAND,TOTAL_SALES,TOTAL_UNITS
13794,2022-09-05T00:00:00.000Z,00000000002007,44oz Fountain,null,null,null,null,261.34,146
917,2022-09-19T00:00:00.000Z,00000000330145,CUP OF ICE,null,null,null,null,18.630000000000006,81
11726,2022-09-05T00:00:00.000Z,00610764030054,bang,null,Packaged Beverages,Energy Drinks,Bang,16.7,5
2375,2022-10-03T00:00:00.000Z,00000000003148,HOT DOG,null,null,null,null,181.76,74
917,2022-10-31T00:00:00.000Z,00000000330145,CUP OF ICE,null,null,null,null,10.580000000000002,46
27913,2022-11-07T00:00:00.000Z,00810089200181,MELLOW FELLOW DELTA 10,null,null,null,null,49.98,2
16805,2022-12-05T00:00:00.000Z,00610764030054,BANG ENERGY WYLDIN WATERMELON,null,Packaged Beverages,Energy Drinks,Bang,29.590000000000003,11
26626,2022-12-12T00:00:00.000Z,00670656107097,SLOTS OF FUN,null,Lottery/Gaming,Lottery,Lottery,160,16
19158,2023-01-02T00:00:00.000Z,00000000031031,Breakfast Engli,null,null,null,null,35.940000000000005,6
13794,2023-01-02T00:00:00.000Z,00000000002007,44oz Fountain,null,null,null,null,85.92000000000002,48
13794,2023-02-20T00:00:00.000Z,00000000002007,44oz Fountain,null,null,null,null,218.38,122
29199,2023-02-13T00:00:00.000Z,00610764030054,BANG WYLDIN WTRMLN 16 OZ,null,Packaged Beverages,Energy Drinks,Bang,5.98,2
7387,2023-03-06T00:00:00.000Z,00083783375558,Sierra Nevada Little Thing 19.2oz,null,null,null,null,3.29,1
29941,2023-05-01T00:00:00.000Z,00000000020527,SMALL WEDGE  C,null,null,null,null,409.63,137
26599,2023-07-17T00:00:00.000Z,00791157011666,SEVENS,null,Lottery/Gaming,Scratch Tickets,Lottery,112,56
26580,2023-08-21T00:00:00.000Z,00791157011666,SEVENS,null,Lottery/Gaming,Scratch Tickets,Lottery,300,150
26599,2023-08-07T00:00:00.000Z,00791157011666,SEVENS,null,Lottery/Gaming,Scratch Tickets,Lottery,76,38
2375,2023-07-24T00:00:00.000Z,00000000003148,LARGE HOT DOG,null,null,null,null,31.890000000000008,13
2375,2023-09-11T00:00:00.000Z,00000000003148,LARGE HOT DOG,null,null,null,null,57.93000000000001,25
24600,2023-11-06T00:00:00.000Z,00610764030054,BANG WILIN WTMLN,null,Packaged Beverages,Energy Drinks,Bang,8.67,3
17272,2023-01-16T00:00:00.000Z,00790574700108,GF SMALL BREADSTICK,null,null,null,null,22.330000000000002,7
25354,2023-06-12T00:00:00.000Z,00610764030054,BANG,null,Packaged Beverages,Energy Drinks,Bang,18.97,7
